kana,yomigana1,yomigana2,yomigana3,author-yomimono
あ,あったかい,ひとがおおいね,へんかくは,okigaru
い,いべんとで,ぽーあっぷためて,にやにやと,RYU
う,うぇぶすりー,えこしすてむは,しんかする,SAKAI
え,えらーでも,おくれているのね,へんかくよ,okigaru
お,おじさんも,まだまだいくぞ,うぇぶすりー,RYU
か,かんそうが,またまにあわず,つぎのかい,yukka kiyo
き,きょうはむり,そんなときこそ,みみさんか,Jun_
く,くりぷとの,あなにおちたら,めたばーす,SAKAI
け,けんきょにじょい,こもじではじめる,うぇぶすりー,MINTA
こ,こみゅにてぃ,いごこちよすぎて,いまなんじ,KenKen
さ,さがしても,またさがしても,みつからないときもある,KKasumi
し,しんかには,てんさいよりも,たようせい,RYU
す,すぺるみす,さいきんよくある,じょいをじょい,emasato
せ,せっかくの,ぽーあっぷしんせい,きげんぎれ,SAKAI
そ,そうだった,へんかくかいに,いってみよう,tsumichara
た,たまげたよ,かもんげっとの,すぴーどに,okigaru
ち,ちーむぷれー,へんかくもらった,しょにんきゅう,mr.chill
つ,ついてない,へんかくいべんと,しごとちゅう,SAKAI
て,でわーくの,しんせいだれかと,かさなるね,okigaru
と,ともがみな,われよりえらく,みゆるひよ,Masa
な,なつめろで,おどりはじめる,でぃーじぇーじょい,RYU
に,にっぽんの,へんかくになう,こみゅにてぃ,Floating Ape
ぬ,ぬきんでた,こせいがきらり,かがやくば,fawn
ね,ねるじかん,けずってでぃすこーど,おってます,KKasumi
の,のーしょんが,うぇぶすりーっぽいの,なんでだろう,geeknees
は,はたらけど,はたらけどなお,わがくらし,Masa
ひ,びっとこいん,さいごのいちまい,ろまんかな,MINTA
ふ,ふつうより,へんがかつやく,たようせい,Floating Ape
へ,へんかくは,みんなのちから,あわせわざ,RYU
ほ,ほんとうは,ぼっとじゃないの,あのひとは,Floating Ape
ま,まてぃっくは,かったいじょうの,かちがある,RYU
み,みずからの,こうどうしめす,なういすと,FLOTAN
む,むむなんで,なんでちがうの,きーわーど,fawn
め,めたばーす,わたしのきゃらも,ぶんさんす,SAKAI
も,もーれつに,すまこんかいて,えらーでる,KenKen
や,やってみる,しんいりたすく,さいしょのいっぽ,mym1020
ゆ,ゆめじゃない,へんかくおこす,だおこっか,shin-san
よ,よのなかを,へんかくするぞ,ばたふらい,hirokazu
ら,らいしゅうも,あばたーさんか,ていれいかい,fawn
り,りゅうさんに,なんでもきける,ありがとう,Floating Ape
る,るーてぃーん,じーえむかいて,またじーえぬ,Jun_
れ,れべるあっぷ,するとでぃーえむくる,みーしっくす,karawapo
ろ,ろーかるの,みりょくにきづく,へんかくで,fawn
わ,わすれずに,どうちゅうもさんか,ていれいかい,mr.chill
を,をのかるた,さいごになったね,かんせいだ,yokoryu
ん,んっなんで,へんかくすこし,ふえている,SAKAI
